City;Average income;Education;Density(Persons/Square Mile);Population;Pollution;Crime rate;Longitude;Latitude;sentence
Wichita;$46.8k;49.62;2448;389902;18;0.0656;37.697948;-97.314835;Wichita, the largest city in Kansas with a population 389,965, is the county seat of Sedgwick County. Major highways, including the Kansas Turnpike, US 400 and Interstate I-135, link the city with a large trade area that encompasses a population of more than one million people within a 100-mile radius. The nearest large cities are Denver to the west, Kansas City of the northeast, and Oklahoma City to the south, and Tulsa to the southeast.
Dallas;$45.2k;52.76;3870;1317929;19;0.0396;32.779167;-96.808891;Dallas is in Dallas County and is one of the best places to live in Texas. Living in Dallas offers residents an urban suburban mix feel and most residents rent their homes. In Dallas there are a lot of restaurants, coffee shops, and parks.
Baltimore;$44.3k;65.06;7594;614664;31;0.0696;39.299236;-76.609383;Baltimore is Maryland's largest city and economic centre and constitutes the northeastern hub of the Baltimore-Washington metropolitan area.
El Paso;$43.3k;33.57;2676;683080;25;0.022;31.772543;-106.460953;El Paso is located in the Chihuahuan Desert of extreme western Texas, along the Rio Grande River. It adjoins both the state of New Mexico and the country of Mexico with the Franklin Mountains, the southern tip of the Rockies, slicing El Paso nearly in two.
Indianapolis;$43.1k;52.99;2366;855164;27;0.0575;39.791;-86.148003;Indianapolis, the capital of Indiana, is the twelfth-largest city in the United States. Located on land set aside for a state capital in the early nineteenth century, it was modeled after Washington D.C., with streets radiating outward from the seat of government. 
Fresno;$41.8k;28.79;4663;522053;37;0.0441;36.746841;-119.772591;Fresno is a city in and the county seat of Fresno County, California, United States. It is located in the San Joaquin Valley, very near the geographical center of California.
Philadelphia;$39.8k;59.48;11692;1567872;26;0.0401;39.952583;-75.165222;Once the original capital of America , Philadelphia has a history enriched with culture, history and symbolism. The city is a melting pot of races, traditions and immigrant cultures and also possesses amenities that only the city's own heritage can provide. It is the home to the Liberty Bell and the Declaration of Independence, both tributes to the city's revolution.
Tucson;$38.0k;54.26;2341;530706;9;0.0605;32.25346;-110.911789;Tucson Arizona is located in south-central Arizona along the banks of the Santa Cruz River where Interstate 10 and 19 meet. It is situated in a high desert valley surrounded by 4 mountain ranges: the Santa Catalinas to the north, the Rincons to the east, the Santa Ritas to the south and the Tucsons to the west.
Memphis;$37.0k;44.75;2072;652717;19;0.083;35.1175;-89.971107;Memphis is known as America's Distribution Center, serving the northeast, southeast, and southwest regions of the country. 
Milwaukee;$36.8k;56.12;6191;595047;24;0.0539;43.038902;-87.906471;The Milwaukee Region blends urban living with Midwest ambiance to create the ideal environment in which to make a living and live your life.
Miami;$31.6k;51.94;12645;453579;19;0.0474;25.761681;-80.191788;Miami is one of the state's and the world's most popular vacation spots. Though destinations often are said to offer something for everyone, the Miami area does indeed offer multiple enticements for everyone.
Cleveland;$26.6k;50.77;4965;385809;21;0.0647;41.505493;-81.68129;Like many of America's older industrial American cities, Cleveland withstood declining prosperity and loss of population in the second half of the 20th century.
Detroit;$26.2k;51.35;4849;672795;31;0.066;42.331429;-83.045753;It is the oldest major city west of the original colonies and the only city in the US that allows you to travel south into Canada.
